,id,name,price,top_tags
0,A000000012809,피지오겔 DMT 로션 200ml,"18,000",복합성 웜톤 잡티 모공 트러블 블랙헤드 
1,A000000130541,에스트라 아토베리어365 예민보습 로션 기획세트(로션 60ml 증정),"22,400",복합성 웜톤 트러블 민감성 모공 잡티 
2,A000000129771,피지오겔 레드수딩 AI 진정보습 로션 200ml,"28,000",복합성 쿨톤 트러블 민감성 모공 잡티 
3,A000000137692,아벤느 고보습 세트(트릭세라 로션*2+클렌징젤),"24,000",복합성 쿨톤 모공 잡티 미백 피지과다 
4,A000000129772,피지오겔 레드수딩 AI 진정보습 로션 100ml,"18,000",복합성 웜톤 트러블 잡티 민감성 모공 
5,A000000129859,라운드랩 1025 독도 로션 200ml,"16,000",복합성 웜톤 트러블 블랙헤드 민감성 모공 
6,A000000128322,닥터자르트 컨트롤에이 티트리먼트 모이스처라이저 100ml (대용량 티트리 약산성 보습크림),"29,200",복합성 웜톤 트러블 블랙헤드 민감성 모공 
7,A000000114116,라로슈포제 에빠끌라 H 멀티 컴펜세이팅 수딩 모이스춰라이저,"24,650",복합성 웜톤 잡티 미백 주름 각질 
8,A000000128697,[올리브영단독]랩시리즈 에이지 레스큐 로션 50ml기획(+대용량 샘플 2종 증정),"62,100",건성 웜톤 각질 미백 주름 트러블 
9,A000000017124,아벤느 클리낭스 매티파잉 플루이드 50ml,"29,400",복합성 웜톤 트러블 민감성 모공 잡티 
10,A000000121268,싸이닉 더 심플 데일리 로션 145ml,"8,910",복합성 웜톤 트러블 민감성 잡티 모공 
11,A000000138003,프리메라 오가니언스에멀젼 150ML,"25,500",건성 웜톤 잡티 미백 주름 모공 
12,A000000123108,하다라보 고쿠쥰밀크,"22,000",건성 쿨톤 잡티 민감성 홍조 주름 
13,A000000129008,에스트라 아토베리어365 로션 150ml,"23,800",복합성 웜톤 트러블 잡티 모공 민감성 
14,A000000104176,크리니크 드라마티컬리 디퍼런트 모이스춰라이징 젤 125ml (지복합용),"44,100",건성 웜톤 미백 각질 블랙헤드 민감성 
15,A000000140681,[NEW]레스큐 워터 에멀전 100ml 기획세트 (+레스큐 워터로션&에멀전 대용량 샘플 증정),"55,800",복합성 웜톤 잡티 트러블 모공 각질 
16,A000000115419,셀퓨전씨 트리악 모이스처 젤 오인트 100ml,"17,640",복합성 웜톤 트러블 블랙헤드 민감성 미백 
17,A000000104173,크리니크 드라마티컬리 디퍼런트 모이스춰라이징 로션+125ml (건복합용),"44,100",복합성 웜톤 각질 트러블 블랙헤드 모공 
18,A000000103320,코스알엑스 오일-프리 울트라 모이스쳐라이징 로션 100ml,"11,800",복합성 쿨톤 각질 블랙헤드 피지과다 잡티 
19,A000000138573,한율 어린쑥수분진정플루이드 125ml,"20,800",복합성 쿨톤 미백 잡티 각질 트러블 
20,A000000130229,라운드어라운드 그린티 약산성 에센스 로션 150ml,"12,830",복합성 웜톤 모공 트러블 잡티 블랙헤드 
21,A000000123000,보타닉힐보 프로바이오덤 리페어 에멀전150mL,"20,160",복합성 웜톤 모공 잡티 트러블 민감성 
22,A000000112805,아벤느 트릭세라 뉴트리-플루이드 로션 200ml,"33,000",복합성 웜톤 트러블 민감성 모공 잡티 
23,A000000137446,비오템 옴므 아쿠아파워 모이스춰라이저 75ml,"51,300",복합성 쿨톤 잡티 미백 주름 각질 
24,A000000137078,싸이닉 더 심플 데일리 로션 260ml,"12,600",복합성 웜톤 블랙헤드 민감성 모공 홍조 
25,A000000015773,닥터자르트 V7 릴리프비타드롭100ml_NEW,"30,400",복합성 웜톤 미백 블랙헤드 모공 잡티 
26,A000000005767,유세린 더모퓨리파이어 오일컨트롤 수딩크림 50ml,"22,400",건성 웜톤 미백 블랙헤드 민감성 홍조 
27,A000000126841,[DTRT] 로션 디어 매트 140ml 기획세트 2019,"19,900",복합성 쿨톤 잡티 미백 주름 각질 
28,A000000116601,눅스 아쿠아벨라 로션 50ml,"27,200",복합성 쿨톤 잡티 미백 주름 각질 
29,A000000141010,마몽드 플로랄하이드로 에멀젼 기획 150ml+25ml (2005),"12,600",복합성 쿨톤 모공 탄력 잡티 주름 
30,A000000007414,아이소이 탁월로션 70ml [탁월로션],"26,400",복합성 웜톤 잡티 미백 주름 피지과다 
31,A000000122094,크리니크 아이디 드라마티컬리 디퍼런트 모이스춰라이징 로션+ 115ml,"36,000",복합성 웜톤 잡티 주름 블랙헤드 홍조 
32,A000000141310,비타민 씨 서스펜션 30% 인 실리콘,"7,900",복합성 쿨톤 잡티 미백 주름 각질 
33,A000000117865,아크네스 모이스처 로션 150ml_NEW,"10,500",복합성 웜톤 각질 블랙헤드 트러블 피지과다 
34,A000000137626,한율 빨간쌀 진액에멀젼 125ML,"32,000",복합성 쿨톤 잡티 각질 트러블 블랙헤드 
35,A000000002840,바이오더마 센시비오 라이트,"18,900",복합성 웜톤 트러블 블랙헤드 모공 잡티 
36,A000000137834,비오템 라이프 플랑크톤™ 피부강화 에센스 인 로션 75ml,"54,900",복합성 쿨톤 잡티 미백 주름 각질 
37,A000000115987,리리코스 마린에너지 하이드레이팅 펄스에센스 로션 150ml,"11,000",복합성 웜톤 잡티 블랙헤드 미백 트러블 
38,A000000016031,보타닉힐 보 더마 워터 세라마이드 에멀전,"16,800",복합성 웜톤 민감성 트러블 모공 잡티 
39,A000000104974,크리니크 포 맨 안티-에이지 모이스춰라이저 100ml,"50,400",복합성 쿨톤 잡티 미백 주름 각질 
40,A000000137418,비오템 옴므 티쀼르 모이스춰라이저 50ml,"45,900",복합성 쿨톤 잡티 미백 주름 각질 
41,A000000143199,퍼펙트 로션 130mL,"21,600",복합성 쿨톤 잡티 미백 주름 각질 
42,A000000120544,랩시리즈 인스턴트 필터 모이스춰라이저 50ml,"41,400",복합성 쿨톤 잡티 미백 주름 각질 
43,A000000140891,미프 리페어 앤 리프팅,"19,200",복합성 웜톤 탄력 주름 모공 잡티 
44,A000000123149,케어존 닥터R 아큐어 에멀전 EX 170,"19,800",복합성 웜톤 미백 주름 각질 트러블 
45,A000000141319,비타민 씨 서스펜션 23%+에이치에이 스피어스 2%,"5,800",복합성 쿨톤 잡티 미백 주름 각질 
46,A000000141718,VT 슈퍼 히알론 에멀전 250ML,"17,500",복합성 쿨톤 잡티 미백 주름 각질 
47,A000000122096,크리니크 아이디 드라마티컬리 디퍼런트 하이드레이팅 젤리 115ml,"36,000",복합성 웜톤 트러블 모공 블랙헤드 피지과다 
48,A000000141317,내추럴 모이스처라이징 팩터스+에이치에이 30mL,"5,800",복합성 쿨톤 각질 트러블 블랙헤드 피지과다 
49,A000000127410,마몽드 세라마이드에멀젼 150ML(19AD),"14,400",복합성 웜톤 각질 블랙헤드 모공 잡티 
50,A000000142184,듀크레이 케라크닐 매트 기름종이 로션 30ml,"28,000",복합성 웜톤 모공 잡티 트러블 민감성 
