,id,name,price,top_tags
0,A000000142876,[한정판] 아이소이 1등잡티세럼Ⅱ 20ml 더블+마스크팩 증정기획,"39,800",복합성 웜톤 블랙헤드 모공 각질 트러블 
1,A000000142696,코스알엑스 풀핏 프로폴리스 라이트 앰플 더블 에디션(40ml+40ml),"26,910",건성 쿨톤 잡티 모공 블랙헤드 탄력 
2,A000000136239,구달 청귤 비타C 잡티세럼 플러스 30ml 기획세트,"15,000",복합성 웜톤 잡티 모공 트러블 미백 
3,A000000141543,아비브 어성초 에센스 카밍펌프 50ml 기획세트(햄프시드 에센스 엑티베이팅 펌프 20ml 증정),"17,010",복합성 웜톤 트러블 잡티 민감성 모공 
4,A000000142992,나인위시스 하이드라 앰플Ⅱ 기획세트(앰플 30ml + 토너 20ml + 크림 8ml),"12,920",복합성 웜톤 잡티 미백 트러블 모공 
5,A000000142730,구달 청귤 비타C 잡티세럼플러스 삐삐콜라보 더블에디션(레드),"27,900",복합성 쿨톤 잡티 미백 주름 각질 
6,A000000139742,토리든 수분 다이빙 키트 기획세트(세럼 50ml + 크림 20ml+스킨부스터 30ml),"16,200",복합성 웜톤 트러블 잡티 블랙헤드 모공 
7,A000000115152,아임프롬 머그워트 에센스 160ml,"23,800",복합성 웜톤 모공 트러블 잡티 홍조 
8,A000000141808,비플레인 시카풀 앰플 대용량 기획 세트(50ml+30ml),"25,400",건성 쿨톤 잡티 모공 트러블 민감성 
9,A000000137016,마녀공장 갈락 나이아신 2.0 에센스 30ml,"19,000",복합성 쿨톤 모공 잡티 미백 블랙헤드 
10,A000000118378,바이오더마 하이드라비오 에센스 로션+하이드라비오 H2O 100 증정 기획,"23,040",복합성 웜톤 미백 트러블 민감성 모공 
11,A000000131123,아이소이 불가리안 로즈 블레미쉬 케어 세럼Ⅱ 20ml 더블세트 [1등잡티세럼],"39,800",복합성 웜톤 트러블 모공 잡티 블랙헤드 
12,A000000125037,닥터자르트 바이탈 하이드라 솔루션 바이옴 에센스 150ml,"39,200",건성 웜톤 민감성 블랙헤드 모공 잡티 
13,A000000141425,"닥터자르트 시카페어 겟그린, 겟베러 세럼 기획","33,350",복합성 웜톤 주름 각질 미백 트러블 
14,A000000114119,라로슈포제 에빠끌라 듀오[+] 에센스,"19,000",복합성 웜톤 트러블 민감성 피지과다 잡티 
15,A000000139351,코스알엑스 퓨어핏 시카 세럼 한정 기획세트(세럼30ml+크림15ml),"14,300",복합성 웜톤 트러블 잡티 민감성 블랙헤드 
16,A000000128643,토리든 다이브인 저분자 히알루론산 세럼 50ml,"16,200",복합성 웜톤 트러블 모공 민감성 블랙헤드 
17,A000000140823,아임프롬 피그 부스팅 에센스 150ml 된다 기획(피그 스크럽 마스크 31g+화장솜 10매 증정),"25,000",복합성 웜톤 잡티 모공 각질 트러블 
18,A000000128798,웰라쥬 리얼 히알루로닉 원데이 키트 10개입,"25,000",복합성 웜톤 모공 탄력 트러블 잡티 
19,A000000142694,바이오더마 하이드라비오 에센스로션 200ML +200ML 듀오 기획,"44,900",복합성 쿨톤 잡티 미백 주름 각질 
20,A000000140885,[올리브영단독] 스킨푸드 블랙슈가 퍼펙트 첫세럼 더 에센셜 기획세트,"20,250",복합성 쿨톤 민감성 각질 블랙헤드 피지과다 
21,A000000111929,[올리브영단독] 라로슈포제 히알루B5 세럼 기획,"42,120",복합성 쿨톤 잡티 미백 주름 각질 
22,A000000132168,웰라쥬 리얼 에이치에이 바이오 리프트 캡슐 세럼 기획세트,"21,000",복합성 웜톤 잡티 모공 트러블 민감성 
23,A000000142384,에스티로더 어드밴스드 나이트 리페어 싱크로나이즈드 멀티-리커버리 콤플렉스 30ML,"103,000",복합성 쿨톤 잡티 미백 주름 각질 
