,id,name,price,top_tags
0,A000000129633,보타닉힐보 더마 인텐시브 시카 판테놀 앰플 더블 기획세트,"22,500",복합성 웜톤 트러블 모공 잡티 블랙헤드 
1,A000000136086,[올리브영 단독] 마녀공장 비피다 바이옴 콤플렉스 앰플 더블에디션,"29,500",복합성 웜톤 잡티 트러블 모공 블랙헤드 
2,A000000141808,비플레인 시카풀 앰플 대용량 기획 세트(50ml+30ml),"25,400",건성 쿨톤 잡티 모공 트러블 민감성 
3,A000000136520,차앤박 프로폴리스 에너지 앰플 대용량 35ml,"38,500",복합성 웜톤 잡티 탄력 주름 트러블 
4,A000000140245,[한정기획] 마녀공장 비피다 바이옴 콤플렉스 앰플 증량 80ml+앰플토너 30ml 증정,"29,500",복합성 웜톤 잡티 트러블 민감성 탄력 
5,A000000125040,닥터자르트 바이탈 하이드라 솔루션 캡슐 앰플 6P,"9,900",복합성 웜톤 트러블 모공 잡티 각질 
6,A000000128798,웰라쥬 리얼 히알루로닉 원데이 키트 10개입,"25,000",복합성 웜톤 모공 탄력 트러블 잡티 
7,A000000137052,셀리맥스 더 리얼 노니 에너지 앰플 스페셜 에디션(앰플30ml+토너50ml),"21,000",복합성 쿨톤 트러블 잡티 모공 민감성 
8,A000000136768,보타닉힐보 더마 인텐시브 시카 판테놀 앰플 50ml 대용량(블레미쉬 크림 20),"23,040",복합성 웜톤 모공 트러블 블랙헤드 잡티 
9,A000000131549,웰라쥬 골드콜라겐 원데이키트 10개입,"29,500",건성 웜톤 탄력 잡티 미백 주름 
10,A000000130944,엑스퍼트 마데카 멜라캡쳐 앰플 7ml*4,"32,400",건성 쿨톤 잡티 트러블 민감성 미백 
11,A000000137087,메디큐브 슈퍼 시카 앰플 35ml,"25,600",복합성 쿨톤 잡티 모공 트러블 블랙헤드 
12,A000000128799,웰라쥬 시카 클리어 원데이 키트 10개입,"25,000",복합성 웜톤 트러블 모공 잡티 민감성 
13,A000000135900,비플레인 시카풀 앰플·엘(50ml) & 대나무 앰플(30ml)기획,"28,000",복합성 쿨톤 트러블 민감성 모공 잡티 
14,A000000135973,셀리맥스 더 리얼 노니 에너지 앰플 30ml,"19,600",복합성 웜톤 트러블 민감성 모공 블랙헤드 
15,A000000131246,센텔리안24 엑스퍼트 마데카 멜라캡쳐 앰플 7ml*2입,"19,600",건성 웜톤 미백 잡티 주름 모공 
16,A000000139352,코스알엑스 프로폴리스 라이트 앰플 한정 기획세트(앰플40ml+토너30ml),"19,900",복합성 웜톤 모공 잡티 블랙헤드 트러블 
17,A000000137607,더마토리 프로 히알샷 물광앰플기획세트,"16,380",복합성 웜톤 트러블 민감성 모공 미백 
18,A000000122660,아이소이 불가리안 로즈 인텐시브 퍼펙트 안티에이징 프로그램 20ml 기획 [코어탄력앰플],"36,000",건성 쿨톤 민감성 잡티 미백 주름 
19,A000000137024,더랩바이블랑두 올리고 히알루론산 앰플 기획세트(패드 증정),"16,630",복합성 웜톤 블랙헤드 모공 민감성 트러블 
20,A000000139355,코스알엑스 프로폴리스 울트라 라이트 앰플 한정 기획세트(앰플40ml+토너30ml),"14,900",복합성 웜톤 트러블 모공 잡티 블랙헤드 
21,A000000137616,리리코스 콜라겐 타워 앰플 기획세트 30m(15ml추가증정),"26,000",건성 쿨톤 주름 각질 탄력 잡티 
22,A000000137537,웰라쥬 리얼 히알루로닉 원데이키트(N),"2,950",복합성 쿨톤 트러블 민감성 모공 잡티 
23,A000000141221,리얼베리어 아쿠아 수딩 앰플 55ml 대용량 기획(+수딩젤크림 5ml*2ea 증정),"13,650",복합성 쿨톤 잡티 미백 주름 각질 
24,A000000139904,닥터자르트 바이옴 에센스+블루샷 앰플 기획세트 (45ml+1.2ml),"30,400",복합성 웜톤 민감성 모공 잡티 트러블 
25,A000000117690,메이크프렘 세이프 미 릴리프 그린 앰플 대용량 기획 [60ml+30ml],"15,960",복합성 쿨톤 블랙헤드 민감성 트러블 모공 
26,A000000141358,차앤박 프로폴리스 에너지 앰플 스페셜 세트,"22,500",복합성 쿨톤 모공 블랙헤드 잡티 트러블 
27,A000000129566,비플레인 바하 필링 앰플 L 50ml,"20,800",복합성 웜톤 모공 블랙헤드 트러블 잡티 
28,A000000115418,셀퓨전씨 트리악 파이널 레스큐 시럽 앰플 기획 (30ml+15ml*2ea),"25,200",복합성 쿨톤 모공 트러블 잡티 미백 
29,A000000120873,DMCK 클린 아크 앰플 10ml*3,"26,400",복합성 웜톤 트러블 탄력 잡티 블랙헤드 
30,A000000112430,메디힐 마스킹 레이어링 앰플 하이드라샷 3개입,"7,700",복합성 웜톤 트러블 모공 탄력 각질 
31,A000000118109,보타닉힐 보 프로바이오덤 리페어 앰플 세럼 50mL,"30,400",복합성 웜톤 모공 잡티 주름 블랙헤드 
32,A000000127614,차앤박 프로폴리스 에너지 앰플 15ml(2019),"22,500",복합성 웜톤 잡티 트러블 민감성 홍조 
33,A000000131076,차앤박 뮤제너 앰플 15ml(1909),"25,200",건성 웜톤 민감성 홍조 탄력 미백 
34,A000000137017,마녀공장 비피다 바이옴 콤플렉스 앰플 30ml,"18,400",복합성 웜톤 잡티 주름 민감성 모공 
35,A000000137483,로벡틴 클린 라하 블레미쉬 앰플 15ml,"8,910",복합성 쿨톤 블랙헤드 모공 잡티 미백 
36,A000000140126,잇츠스킨 파워10포뮬라 피오 싱글오리진앰플 7p (1+1),"21,000",복합성 웜톤 트러블 모공 잡티 미백 
37,A000000137620,차앤박 뮤제너 앰플 3vials,"62,400",복합성 쿨톤 잡티 미백 주름 각질 
38,A000000116000,시카고 시카 더블 이펙트 앰플 30ml 기획 [귀신앰플],"29,600",복합성 웜톤 잡티 홍조 블랙헤드 민감성 
39,A000000141035,허브노트 프로폴리스 아쿠아 글로우 앰플 45ml,"30,000",복합성 웜톤 잡티 트러블 블랙헤드 피지과다 
40,A000000135339,더랩바이블랑두 올리고 히알루론산 부스팅 앰플 30ml,"20,000",복합성 웜톤 트러블 민감성 잡티 모공 
41,A000000137534,웰라쥬 리얼 시카카밍 원데이키트(N),"2,950",복합성 웜톤 트러블 모공 민감성 잡티 
42,A000000137523,웰라쥬 리얼 비타민토닝 원데이키트(N),"2,950",복합성 웜톤 모공 민감성 트러블 미백 
43,A000000120885,DMCK 클린 아크 앰플 30ml,"26,400",복합성 쿨톤 트러블 블랙헤드 피지과다 잡티 
44,A000000137521,웰라쥬 리얼 골드콜라겐 원데이키트(N),"3,300",건성 웜톤 잡티 트러블 모공 블랙헤드 
45,A000000140056,잇츠스킨 파워10포뮬라 싱글오리진앰플 레인보우 기획세트 10p,"18,000",복합성 웜톤 트러블 잡티 민감성 모공 
46,A000000131594,비욘드 엔젤아쿠아 시카 카밍 앰플 100ml,"19,800",복합성 웜톤 트러블 모공 잡티 민감성 
47,A000000112431,메디힐 마스킹 레이어링 앰플 포어마이너샷 3개입,"7,700",복합성 웜톤 모공 각질 블랙헤드 미백 
48,A000000120871,DMCK 클린 아크 앰플 10ml,"9,520",복합성 쿨톤 트러블 미백 모공 잡티 
49,A000000136081,리얼베리어 액티브-브이 리프팅 앰플 30ml 기획(리프팅앰플5ml+익스트림크림10ml 증정),"16,500",복합성 웜톤 미백 블랙헤드 모공 잡티 
