,id,name,price,top_tags
43,A000000141511,마녀공장 비피다 바이옴 수분 장벽 강화 크림 1+1 기획세트,"22,500",건성 웜톤 잡티 미백 주름 각질 
44,A000000136436,구달 청귤 비타C 잡티 톤업 크림 기획 세트,"17,600",복합성 웜톤 트러블 민감성 모공 잡티 
45,A000000140755,케어존 노르데나우워터 크림 1+1 특별 기획,"28,800",복합성 쿨톤 트러블 미백 잡티 주름 
46,A000000013227,라로슈포제 똘러리앙 울트라 크림 [촉촉],"24,650",복합성 쿨톤 각질 잡티 주름 트러블 
47,A000000016808,유세린 볼륨 리프팅 나이트 크림,"36,400",건성 쿨톤 민감성 홍조 잡티 미백 
48,A000000010470,라로슈포제 시카플라스트 밤 B5 크림 [100ml],"22,400",복합성 쿨톤 트러블 잡티 민감성 미백 
49,A000000142947,라네즈 래디언씨크림 기획 (본품 30ml + 샘플 10ml + 콜라보 스티커 2매 증정),"23,900",복합성 웜톤 잡티 트러블 탄력 모공 
50,A000000012773,아이소이 불가리안 로즈 블레미쉬 케어 크림 플러스 30ml 기획 [잡티크림],"29,900",복합성 웜톤 잡티 미백 주름 트러블 
51,A000000139070,브링그린 티트리 시카 수딩 크림 100mL+40mL한정기획,"11,610",복합성 쿨톤 트러블 잡티 모공 블랙헤드 
52,A000000129575,코스알엑스 풀핏 프로폴리스 라이트 크림 65ml,"19,900",복합성 웜톤 트러블 블랙헤드 피지과다 민감성 
53,A000000136534,유세린 하이알루론 20ml 듀얼 기획(하이알루론 데이크림&나이트크림),"23,800",복합성 쿨톤 잡티 미백 주름 모공 
54,A000000139396,에스트라 테라크네365  수딩촉촉 에멀젼 120ml 기획(+ 테라크네 토너 100ml 증정),"31,500",복합성 쿨톤 민감성 잡티 각질 주름 
55,A000000138096,라운드랩 1025 독도 크림 80ml,"22,400",복합성 쿨톤 미백 잡티 트러블 주름 
56,A000000015608,비욘드 엔젤아쿠아 수분크림 150ml 기획(1+1),"20,800",복합성 웜톤 잡티 모공 미백 블랙헤드 
57,A000000113643,메이크프렘 세이프 미 릴리프 모이스처 크림 12 80ml,"22,400",건성 웜톤 민감성 모공 탄력 주름 
58,A000000139009,차앤박 프로폴리스 앰플 액티브 크림 50ml,"28,800",복합성 쿨톤 잡티 트러블 민감성 미백 
59,A000000142329,유세린 울트라센시티브 리페어 크림 50ml 기획 (+하이알루론 미스트 50ml),"21,000",복합성 웜톤 트러블 탄력 잡티 미백 
60,A000000123587,나인위시스 하이드라 앰플 크림,"16,800",복합성 웜톤 트러블 각질 잡티 피지과다 
61,A000000106423,닥터자르트 NEW 세라마이딘 크림 50ml (세라 크림),"34,200",건성 웜톤 잡티 모공 블랙헤드 주름 
62,A000000129094,닥터지 로얄 블랙스네일 아이크림 30ml 상시기획,"26,600",복합성 쿨톤 민감성 트러블 탄력 잡티 
63,A000000139007,차앤박 팜슈티컬 울트라 카밍 젤 크림 기획(2005),"29,500",복합성 웜톤 민감성 모공 트러블 잡티 
64,A000000112132,유세린 하이알루론 엘라스티시티 나이트 크림,"50,400",건성 웜톤 민감성 잡티 미백 주름 
65,A000000121017,닥터지 필라그린 배리어크림 민감건성 50ml 기획,"33,100",건성 웜톤 트러블 민감성 모공 잡티 
